N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,region,label
85.46,41.32,72.57,33.67,37.32,6.33,85.78,Loamy,Zaid,Bagalkote,North Karnataka,muskmelon
80.34,58.15,50.0,28.36,50.61,6.47,224.01,Red,Rabi,Raichur,North Karnataka,chilli
27.22,57.3,30.61,24.0,51.52,6.0,2676.23,Laterite,Kharif,Uttara Kannada,Coastal Karnataka,kidneybeans
67.95,44.94,66.13,30.0,63.82,6.13,384.33,Red,Kharif,Dharwad,North Karnataka,cotton
93.28,46.85,69.97,25.54,72.53,6.0,131.05,Laterite,Rabi,Hassan,Malnad,tomato
19.1,55.11,64.58,25.77,62.27,6.59,128.44,Alluvial,Rabi,Mandya,South Karnataka,groundnut
64.62,35.27,62.07,33.6,49.96,6.23,273.21,Sandy,Zaid,Kolar,South Karnataka,mango
193.65,47.17,186.33,32.34,75.0,5.93,429.52,Black,Kharif,Vijayapura,North Karnataka,banana
113.0,44.22,48.21,19.56,55.51,6.03,326.19,Red,Rabi,Davanagere,North Karnataka,maize
116.12,46.9,101.39,16.02,75.6,5.61,215.53,Laterite,Rabi,Chikkamagaluru,Malnad,coffee
65.43,35.72,68.21,24.91,70.0,6.5,231.93,Alluvial,Rabi,Shivamogga,Malnad,cashew
186.36,49.21,162.93,30.85,75.0,6.72,436.28,Black,Kharif,Vijayapura,North Karnataka,banana
70.07,28.91,115.78,30.29,53.74,6.11,110.9,Sandy,Zaid,Tumakuru,South Karnataka,mango
40.0,22.01,48.25,24.95,70.58,6.5,427.46,Red,Kharif,Ramanagara,South Karnataka,guava
180.81,65.34,189.72,28.74,77.69,5.78,398.96,Red,Kharif,Mandya,South Karnataka,coconut
76.49,46.08,68.89,25.43,67.0,7.92,583.83,Black,Kharif,Davanagere,North Karnataka,cotton
151.03,75.82,191.4,32.65,81.74,6.1,90.52,Red,Zaid,Belagavi,North Karnataka,banana
69.92,39.18,62.2,32.84,41.39,6.56,91.06,Black,Zaid,Bagalkote,North Karnataka,mango
19.61,43.73,77.85,27.16,58.92,6.32,387.41,Sandy,Kharif,Ballari,North Karnataka,groundnut
143.15,46.56,184.6,25.61,86.82,6.5,3326.86,Alluvial,Kharif,Udupi,Coastal Karnataka,arecanut
80.02,44.65,51.74,23.55,60.87,7.35,162.89,Alluvial,Rabi,Mandya,South Karnataka,maize
61.93,47.45,36.74,30.18,56.2,6.3,442.85,Red,Kharif,Yadgir,North Karnataka,bajra
20.0,55.81,23.76,32.81,68.39,6.83,1524.81,Sandy,Kharif,Chitradurga,South Karnataka,pigeonpeas
113.77,23.75,79.08,34.95,52.82,5.89,230.42,Red,Zaid,Kolar,South Karnataka,mango
77.93,42.2,50.0,27.76,64.19,6.03,315.48,Red,Kharif,Mysuru,South Karnataka,onion
122.79,40.8,98.51,24.88,73.23,6.36,103.91,Loamy,Zaid,Chikkamagaluru,Malnad,coffee
19.27,47.14,33.42,32.59,66.49,6.72,560.93,Black,Kharif,Yadgir,North Karnataka,mungbean
43.69,38.74,46.7,33.0,79.92,6.14,206.33,Loamy,Rabi,Shivamogga,Malnad,cashew
66.48,41.98,60.0,29.42,50.26,7.27,1381.65,Black,Kharif,Chitradurga,South Karnataka,sunflower
74.43,20.0,40.28,29.22,81.88,5.82,325.83,Laterite,Rabi,Udupi,Coastal Karnataka,cashew
110.37,41.73,43.33,31.33,53.15,5.71,503.34,Red,Kharif,Raichur,North Karnataka,maize
40.0,20.31,38.11,33.58,60.23,5.76,547.18,Red,Kharif,Gadag,North Karnataka,jowar
18.2,50.21,68.35,27.23,54.07,6.9,163.64,Black,Rabi,Ballari,North Karnataka,groundnut
40.0,25.0,31.21,25.8,65.0,6.32,241.91,Red,Rabi,Chikkamagaluru,Malnad,jowar
117.77,44.79,147.01,31.43,77.93,6.35,144.65,Loamy,Rabi,Kodagu,Malnad,arecanut
132.32,60.75,176.24,25.64,92.9,6.42,150.46,Red,Zaid,Mysuru,South Karnataka,coconut
107.95,50.63,42.69,23.82,79.47,6.22,385.37,Sandy,Kharif,Tumakuru,South Karnataka,maize
70.72,48.23,71.85,26.64,61.03,6.8,409.32,Black,Kharif,Vijayapura,North Karnataka,onion
40.0,24.62,47.37,27.37,70.03,6.39,413.07,Red,Kharif,Ramanagara,South Karnataka,sapota
24.72,39.95,29.33,24.24,52.55,6.64,127.83,Loamy,Rabi,Ramanagara,South Karnataka,horsegram
24.62,23.78,22.46,30.36,51.95,6.5,570.6,Red,Kharif,Kalaburagi,North Karnataka,mothbeans
130.09,46.25,128.48,28.75,61.94,6.16,157.73,Red,Zaid,Chitradurga,South Karnataka,papaya
77.8,49.29,72.36,25.67,44.95,6.58,128.68,Black,Rabi,Gadag,North Karnataka,onion
32.03,31.68,28.41,27.34,40.79,6.88,211.43,Sandy,Rabi,Raichur,North Karnataka,sesame
128.84,41.31,168.28,28.71,78.87,5.56,191.52,Black,Rabi,Chitradurga,South Karnataka,banana
148.77,60.11,124.12,23.44,75.43,6.35,1945.41,Loamy,Kharif,Shivamogga,Malnad,arecanut
67.44,48.81,66.46,29.8,44.18,6.16,115.49,Sandy,Zaid,Tumakuru,South Karnataka,watermelon
17.79,58.17,64.79,29.58,45.88,6.44,471.41,Red,Kharif,Raichur,North Karnataka,groundnut
70.26,40.76,98.19,21.45,75.0,5.02,100.74,Laterite,Zaid,Chikkamagaluru,Malnad,pepper
62.44,47.57,50.0,24.07,62.38,6.22,341.95,Red,Kharif,Bagalkote,North Karnataka,onion
59.58,20.0,79.43,26.2,77.77,5.71,2153.03,Laterite,Kharif,Shivamogga,Malnad,cashew
124.21,49.88,167.21,22.62,67.14,6.51,216.28,Alluvial,Rabi,Mysuru,South Karnataka,papaya
22.62,34.75,31.48,28.52,67.51,6.24,534.14,Red,Kharif,Kalaburagi,North Karnataka,blackgram
75.36,34.56,94.71,20.22,67.85,6.51,248.22,Alluvial,Rabi,Mysuru,South Karnataka,tobacco
104.92,40.92,42.08,30.12,70.53,6.9,499.33,Loamy,Kharif,Davanagere,North Karnataka,maize
163.23,65.34,135.17,27.36,73.79,5.83,72.17,Red,Zaid,Mandya,South Karnataka,coconut
37.96,20.84,36.54,25.21,32.14,6.23,145.32,Red,Rabi,Yadgir,North Karnataka,sesame
27.66,48.4,49.09,24.0,62.96,6.63,2312.3,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,kidneybeans
100.85,56.11,63.61,24.68,57.51,6.86,244.26,Sandy,Rabi,Bengaluru Rural,South Karnataka,tomato
82.85,47.09,81.99,28.35,84.45,6.5,2977.24,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,pepper
60.0,46.42,60.0,21.6,82.21,5.78,566.63,Loamy,Kharif,Kodagu,Malnad,turmeric
238.73,79.14,137.81,24.45,60.0,7.74,121.98,Black,Rabi,Belagavi,North Karnataka,sugarcane
60.0,40.79,56.61,21.35,56.26,6.85,138.93,Loamy,Rabi,Mandya,South Karnataka,sunflower
27.03,48.17,31.22,18.64,45.26,6.79,185.79,Black,Rabi,Raichur,North Karnataka,chickpea
129.54,41.67,87.1,23.94,62.43,7.17,146.57,Alluvial,Rabi,Mandya,South Karnataka,mulberry
101.33,60.48,138.12,28.45,76.47,5.75,147.55,Laterite,Rabi,Hassan,Malnad,arecanut
108.72,40.38,87.64,24.15,65.21,6.28,166.97,Loamy,Rabi,Ramanagara,South Karnataka,mulberry
83.2,29.02,116.2,24.57,59.18,6.31,288.62,Loamy,Rabi,Kolar,South Karnataka,mango
65.5,50.0,72.84,31.34,67.41,7.13,452.57,Black,Kharif,Raichur,North Karnataka,chilli
48.61,33.06,42.23,31.73,65.89,7.26,183.38,Loamy,Zaid,Mysuru,South Karnataka,sapota
41.79,29.77,56.86,27.75,76.11,6.05,235.13,Loamy,Rabi,Chikkamagaluru,Malnad,cashew
119.99,40.78,69.68,24.44,61.12,6.48,221.3,Sandy,Rabi,Bengaluru Rural,South Karnataka,tomato
60.43,33.4,86.43,24.26,72.9,5.88,113.14,Laterite,Zaid,Hassan,Malnad,cardamom
24.25,31.79,28.16,35.04,58.45,6.5,574.66,Red,Kharif,Yadgir,North Karnataka,mothbeans
125.79,47.47,166.0,32.4,69.54,6.26,194.18,Sandy,Zaid,Raichur,North Karnataka,papaya
92.69,41.91,102.21,30.47,71.86,6.38,118.8,Loamy,Zaid,Shivamogga,Malnad,cardamom
86.84,48.36,55.15,27.39,80.84,5.58,557.53,Laterite,Kharif,Kodagu,Malnad,rice
152.97,45.28,124.19,23.21,62.95,6.76,182.97,Sandy,Zaid,Chitradurga,South Karnataka,papaya
79.16,37.15,22.86,26.14,40.29,6.84,148.41,Black,Rabi,Gadag,North Karnataka,jowar
56.49,31.36,44.53,22.44,53.41,6.79,131.09,Loamy,Rabi,Ramanagara,South Karnataka,guava
172.03,65.32,147.12,22.09,70.21,6.33,107.9,Loamy,Zaid,Chikkamagaluru,Malnad,arecanut
134.92,69.04,191.77,24.16,78.03,6.16,131.89,Red,Rabi,Hassan,Malnad,coconut
23.75,57.74,75.6,25.4,49.6,6.63,129.72,Black,Rabi,Bagalkote,North Karnataka,groundnut
90.58,44.89,41.59,27.36,57.8,5.54,751.41,Red,Kharif,Haveri,North Karnataka,maize
19.08,34.19,32.84,20.12,50.93,6.34,175.46,Sandy,Rabi,Tumakuru,South Karnataka,horsegram
17.96,41.68,63.23,33.99,52.24,7.0,144.48,Black,Rabi,Vijayapura,North Karnataka,groundnut
160.64,44.87,120.74,28.67,77.68,7.38,181.64,Alluvial,Zaid,Udupi,Coastal Karnataka,coconut
80.0,42.39,60.0,30.13,57.51,6.81,716.94,Black,Kharif,Haveri,North Karnataka,maize
88.79,40.91,42.3,19.65,54.68,6.37,160.23,Loamy,Rabi,Bagalkote,North Karnataka,maize
16.01,29.95,15.08,33.2,55.14,7.88,531.2,Black,Kharif,Kalaburagi,North Karnataka,mothbeans
110.66,79.76,66.43,25.31,63.19,6.79,305.93,Sandy,Rabi,Kolar,South Karnataka,tomato
75.12,53.13,50.97,30.38,37.31,6.79,188.4,Sandy,Rabi,Raichur,North Karnataka,sunflower
86.08,44.49,55.7,20.36,44.43,6.5,225.37,Loamy,Rabi,Haveri,North Karnataka,onion
22.12,44.74,66.51,27.0,49.34,6.47,123.44,Red,Rabi,Vijayapura,North Karnataka,groundnut
117.32,47.15,42.15,24.66,53.97,5.93,1285.3,Sandy,Kharif,Chitradurga,South Karnataka,maize
174.65,47.82,164.96,28.27,74.48,6.67,65.51,Black,Zaid,Vijayapura,North Karnataka,papaya
64.26,29.03,29.08,29.51,61.23,5.65,354.48,Sandy,Kharif,Kolar,South Karnataka,ragi
67.31,52.78,68.33,22.99,79.4,5.97,2242.69,Laterite,Kharif,Shivamogga,Malnad,turmeric
23.49,53.15,71.37,28.81,69.79,6.59,376.52,Black,Kharif,Vijayapura,North Karnataka,groundnut
111.02,73.25,63.75,20.78,58.5,6.41,226.23,Red,Rabi,Bengaluru Rural,South Karnataka,tomato
79.86,32.84,68.62,29.05,54.64,6.17,221.27,Sandy,Zaid,Chikkaballapura,South Karnataka,mango
56.17,34.74,52.15,27.91,60.21,6.28,136.94,Loamy,Zaid,Shivamogga,Malnad,cashew
78.68,38.2,34.92,32.26,53.32,6.84,501.35,Black,Kharif,Raichur,North Karnataka,bajra
40.0,23.56,46.28,24.41,51.36,6.5,76.01,Red,Zaid,Ramanagara,South Karnataka,guava
17.65,21.14,30.0,23.66,53.82,6.06,309.9,Red,Rabi,Kolar,South Karnataka,horsegram
24.73,41.49,22.11,31.9,60.43,7.02,478.14,Black,Kharif,Raichur,North Karnataka,pigeonpeas
18.93,47.84,39.54,30.82,73.04,6.46,432.02,Red,Kharif,Koppala,North Karnataka,mungbean
40.0,24.89,31.21,25.21,53.39,6.1,124.17,Red,Rabi,Vijayapura,North Karnataka,jowar
21.31,43.81,30.17,31.92,45.44,6.3,235.67,Red,Rabi,Koppala,North Karnataka,pigeonpeas
69.31,43.83,61.5,30.05,35.95,6.89,80.45,Black,Zaid,Bagalkote,North Karnataka,muskmelon
98.48,36.01,105.88,23.1,78.1,6.06,179.54,Red,Rabi,Chikkamagaluru,Malnad,pepper
225.28,75.42,132.38,28.98,65.19,6.42,187.62,Red,Rabi,Raichur,North Karnataka,sugarcane
80.11,59.48,58.66,25.84,54.52,7.15,381.15,Loamy,Rabi,Davanagere,North Karnataka,chilli
157.69,59.7,160.73,24.52,70.0,6.01,208.01,Loamy,Rabi,Tumakuru,South Karnataka,coconut
138.11,41.65,181.87,26.35,77.96,5.79,142.52,Loamy,Rabi,Dharwad,North Karnataka,banana
74.73,39.31,77.09,31.22,43.28,7.39,110.89,Black,Zaid,Dharwad,North Karnataka,mango
110.47,50.56,45.9,28.08,67.93,5.92,669.5,Red,Kharif,Haveri,North Karnataka,maize
41.58,35.25,43.45,23.37,53.07,6.44,289.59,Loamy,Zaid,Kolar,South Karnataka,guava
60.97,49.36,101.99,18.27,78.55,6.03,196.64,Red,Rabi,Chikkamagaluru,Malnad,cardamom
69.45,43.6,43.54,29.04,62.17,6.02,367.51,Red,Kharif,Mandya,South Karnataka,sunflower
194.05,78.16,193.19,24.41,70.0,5.52,210.64,Red,Rabi,Tumakuru,South Karnataka,coconut
18.7,40.31,78.57,29.28,54.38,6.38,224.68,Red,Rabi,Chitradurga,South Karnataka,groundnut
89.0,46.1,40.69,25.78,52.88,6.29,142.64,Red,Rabi,Vijayapura,North Karnataka,sunflower
40.0,22.58,49.23,30.64,53.99,6.5,236.61,Red,Zaid,Kolar,South Karnataka,guava
117.82,23.75,111.18,24.25,50.1,6.13,129.21,Red,Rabi,Ramanagara,South Karnataka,mango
39.2,44.69,48.71,24.0,59.88,6.33,385.98,Red,Kharif,Dharwad,North Karnataka,kidneybeans
123.56,55.4,188.09,25.47,71.1,5.96,118.59,Laterite,Zaid,Chikkamagaluru,Malnad,arecanut
96.86,56.24,76.5,32.16,59.86,6.26,554.89,Red,Kharif,Gadag,North Karnataka,cotton
113.5,40.84,79.49,26.2,64.48,6.11,400.37,Sandy,Kharif,Kolar,South Karnataka,tomato
156.51,46.55,169.58,30.63,82.72,6.64,85.41,Alluvial,Zaid,Mandya,South Karnataka,banana
131.93,41.56,167.65,28.45,83.99,5.98,108.05,Loamy,Zaid,Tumakuru,South Karnataka,banana
100.92,57.17,46.2,30.77,59.34,6.13,763.87,Red,Kharif,Haveri,North Karnataka,maize
146.21,40.22,179.3,25.04,75.0,6.11,576.95,Red,Kharif,Belagavi,North Karnataka,banana
79.39,42.17,111.97,21.69,75.69,5.67,102.42,Laterite,Zaid,Uttara Kannada,Coastal Karnataka,pepper
114.34,50.83,70.38,27.0,75.0,6.0,387.7,Laterite,Kharif,Hassan,Malnad,tomato
93.41,34.61,116.17,24.41,57.02,7.23,179.13,Loamy,Rabi,Tumakuru,South Karnataka,mango
92.92,61.92,87.84,20.26,67.49,6.14,213.51,Red,Rabi,Mysuru,South Karnataka,tomato
82.8,53.23,58.41,27.05,69.05,6.26,421.9,Loamy,Kharif,Dharwad,North Karnataka,chilli
107.77,46.28,169.2,31.42,71.65,6.5,118.43,Alluvial,Zaid,Dakshina Kannada,Coastal Karnataka,arecanut
40.0,22.5,46.64,37.84,63.0,6.17,276.45,Red,Rabi,Kolar,South Karnataka,sapota
28.81,58.64,38.15,20.48,58.07,6.28,130.68,Red,Rabi,Gadag,North Karnataka,chickpea
97.03,54.11,51.11,28.45,53.85,6.19,225.93,Sandy,Rabi,Chitradurga,South Karnataka,maize
80.73,56.32,89.07,28.56,71.45,5.62,110.42,Red,Zaid,Hassan,Malnad,cardamom
69.44,36.27,67.27,26.74,82.48,6.5,3017.26,Alluvial,Kharif,Uttara Kannada,Coastal Karnataka,cashew
90.88,40.71,59.08,27.95,72.21,6.23,332.47,Loamy,Kharif,Tumakuru,South Karnataka,maize
89.63,33.94,108.1,29.21,54.82,6.37,394.35,Loamy,Rabi,Davanagere,North Karnataka,tobacco
74.38,45.87,50.42,26.44,57.83,6.65,159.2,Loamy,Rabi,Dharwad,North Karnataka,chilli
